model,episode,elo
PPO_SelfPlay,355,1092.780517578125
PPO_SelfPlay,356,1104.6065673828125
PPO_SelfPlay,357,1115.9298095703125
PPO_SelfPlay,358,1126.7806396484375
PPO_SelfPlay,359,1137.188232421875
PPO_SelfPlay,360,1115.1795654296875
PPO_SelfPlay,361,1094.0615234375
PPO_SelfPlay,362,1105.8326416015625
PPO_SelfPlay,363,1085.104248046875
PPO_SelfPlay,364,1097.2615966796875
PPO_SelfPlay,365,1076.89599609375
PPO_SelfPlay,366,1057.4114990234375
PPO_SelfPlay,367,1038.7913818359375
PPO_SelfPlay,368,1053.0123291015625
PPO_SelfPlay,369,1066.58984375
PPO_SelfPlay,370,1079.560302734375
PPO_SelfPlay,371,1091.9591064453125
PPO_SelfPlay,372,1110.0302734375
PPO_SelfPlay,373,1121.1260986328125
PPO_SelfPlay,374,1099.7635498046875
PPO_SelfPlay,375,1079.29150390625
PPO_SelfPlay,376,1091.7020263671875
PPO_SelfPlay,377,1103.574462890625
PPO_SelfPlay,378,1082.941162109375
PPO_SelfPlay,379,1095.1925048828125
PPO_SelfPlay,380,1074.9151611328125
PPO_SelfPlay,381,1087.5177001953125
PPO_SelfPlay,382,1067.570556640625
PPO_SelfPlay,383,1080.4974365234375
PPO_SelfPlay,384,1092.8553466796875
PPO_SelfPlay,385,1104.67822265625
PPO_SelfPlay,386,1115.998291015625
PPO_SelfPlay,387,1126.846435546875
PPO_SelfPlay,388,1137.2513427734375
PPO_SelfPlay,389,1115.2401123046875
PPO_SelfPlay,390,1126.11962890625
PPO_SelfPlay,391,1136.553955078125
PPO_SelfPlay,392,1114.5703125
PPO_SelfPlay,393,1093.4774169921875
PPO_SelfPlay,394,1105.2735595703125
PPO_SelfPlay,395,1116.5687255859375
PPO_SelfPlay,396,1095.393310546875
PPO_SelfPlay,397,1107.107421875
PPO_SelfPlay,398,1118.325439453125
PPO_SelfPlay,399,1097.0777587890625
PPO_SelfPlay,400,1076.719970703125
PPO_SelfPlay,401,1089.2431640625
PPO_SelfPlay,402,1101.221435546875
PPO_SelfPlay,403,1112.6876220703125
PPO_SelfPlay,404,1123.6727294921875
PPO_SelfPlay,405,1134.206298828125
PPO_SelfPlay,406,1112.3160400390625
PPO_SelfPlay,407,1123.316650390625
PPO_SelfPlay,408,1133.86474609375
PPO_SelfPlay,409,1143.988037109375
PPO_SelfPlay,410,1153.7122802734375
PPO_SelfPlay,411,1163.06201171875
PPO_SelfPlay,412,1140.0594482421875
PPO_SelfPlay,413,1149.9375
PPO_SelfPlay,414,1159.431640625
PPO_SelfPlay,415,1168.5648193359375
PPO_SelfPlay,416,1177.35888671875
PPO_SelfPlay,417,1185.833740234375
PPO_SelfPlay,418,1162.00830078125
PPO_SelfPlay,419,1139.0450439453125
PPO_SelfPlay,420,1148.9630126953125
PPO_SelfPlay,421,1158.49462890625
PPO_SelfPlay,422,1167.6630859375
PPO_SelfPlay,423,1176.490234375
PPO_SelfPlay,424,1152.996337890625
PPO_SelfPlay,425,1162.373291015625
PPO_SelfPlay,426,1171.396484375
PPO_SelfPlay,427,1162.589111328125
PPO_SelfPlay,428,1171.6041259765625
PPO_SelfPlay,429,1180.287109375
PPO_SelfPlay,430,1188.6573486328125
PPO_SelfPlay,431,1196.7332763671875
PPO_SelfPlay,432,1204.53173828125
PPO_SelfPlay,433,1212.0684814453125
PPO_SelfPlay,434,1202.0435791015625
PPO_SelfPlay,435,1209.6630859375
PPO_SelfPlay,436,1198.9827880859375
PPO_SelfPlay,437,1174.7052001953125
PPO_SelfPlay,438,1183.275634765625
PPO_SelfPlay,439,1191.5400390625
PPO_SelfPlay,440,1199.51611328125
PPO_SelfPlay,441,1207.220458984375
PPO_SelfPlay,442,1214.66845703125
PPO_SelfPlay,443,1189.874267578125
PPO_SelfPlay,444,1197.907958984375
PPO_SelfPlay,445,1205.6666259765625
PPO_SelfPlay,446,1213.165771484375
PPO_SelfPlay,447,1188.419921875
PPO_SelfPlay,448,1196.504150390625
PPO_SelfPlay,449,1204.310302734375
PPO_SelfPlay,450,1211.8544921875
PPO_SelfPlay,451,1219.151123046875
PPO_SelfPlay,452,1226.2137451171875
PPO_SelfPlay,453,1233.0552978515625
PPO_SelfPlay,454,1239.687255859375
PPO_SelfPlay,455,1246.120849609375
PPO_SelfPlay,456,1220.3662109375
PPO_SelfPlay,457,1227.3905029296875
PPO_SelfPlay,458,1202.195556640625
PPO_SelfPlay,459,1209.81005859375
PPO_SelfPlay,460,1185.1732177734375
PPO_SelfPlay,461,1193.370849609375
PPO_SelfPlay,462,1201.2840576171875
PPO_SelfPlay,463,1208.9290771484375
PPO_SelfPlay,464,1199.418212890625
PPO_SelfPlay,465,1207.1258544921875
PPO_SelfPlay,466,1214.576904296875
PPO_SelfPlay,467,1221.78564453125
PPO_SelfPlay,468,1228.7652587890625
PPO_SelfPlay,469,1235.528076171875
PPO_SelfPlay,470,1246.359130859375
PPO_SelfPlay,471,1220.5975341796875
PPO_SelfPlay,472,1227.614501953125
PPO_SelfPlay,473,1234.4127197265625
PPO_SelfPlay,474,1241.0037841796875
PPO_SelfPlay,475,1215.3985595703125
PPO_SelfPlay,476,1222.580810546875
PPO_SelfPlay,477,1229.5355224609375
PPO_SelfPlay,478,1219.59228515625
PPO_SelfPlay,479,1226.6409912109375
PPO_SelfPlay,480,1201.4693603515625
PPO_SelfPlay,481,1209.108154296875
PPO_SelfPlay,482,1184.494140625
PPO_SelfPlay,483,1192.715576171875
PPO_SelfPlay,484,1200.6512451171875
